都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,経度,緯度,,2400分割,3600分割,,480分割,720分割
上川,12691,四,幾寅,ｲｸﾄﾗ,空知郡南富良野町幾寅,43,10.1,142,34.1,350,9.4,1.5,昭52.10.7,12945,－,142.5683333,43.16833333,,1805,2780,,361,556
上川,12746,四,占冠,ｼﾑｶｯﾌﾟ,勇払郡占冠村中央,42,58.7,142,23.7,332,10,1.5,昭52.10.7,12950,－,142.395,42.97833333,,1791,2757,,358,551
上川,15041,四,朱鞠内,ｼｭﾏﾘﾅｲ,雨竜郡幌加内町朱鞠内,44,16.9,142,9.7,255,10,1.5,昭53.10.24,15900,－,142.1616667,44.28166667,,1772,2913,,354,582
上川,15076,四,幌加内,ﾎﾛｶﾅｲ,雨竜郡幌加内町幌加内,44,0.6,142,9.6,159,9.4,1.5,(昭50.5.28)昭52.10.28,15905,－,142.16,44.01,,1772,2881,,354,576
留萌,13061,四,天塩,ﾃｼｵ,天塩郡天塩町川口,44,53.6,141,45.7,9,10,1.5,#昭52.10.26,13900,－,141.7616667,44.89333333,,1740,2987,,348,597
留萌,13086,四,遠別,ｴﾝﾍﾞﾂ,天塩郡遠別町幸和,44,43.1,141,48.4,7,10,1.5,#昭52.10.26,－,－,141.8066667,44.71833333,,1744,2966,,348,593
留萌,13121,四,初山別,ｼｮｻﾝﾍﾞﾂ,苫前郡初山別村初山別,44,31.4,141,46.2,27,10,1.5,昭52.10.28,13905,－,141.77,44.52333333,,1741,2942,,348,588
留萌,13146,四,焼尻,ﾔｷﾞｼﾘ,苫前郡羽幌町焼尻白浜,44,25.7,141,25.3,38,8,1.5,昭52.10.27,－,－,141.4216667,44.42833333,,1713,2931,,342,586
留萌,13181,官,羽幌,ﾊﾎﾞﾛ,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44,21.8,141,42,8,21.6,－,#昭51.1.1,13907,－,141.7,44.36333333,,1736,2923,,347,584
留萌,13206,雨,古丹別,ｺﾀﾝﾍﾞﾂ,苫前郡苫前町古丹別,44,15.9,141,43.3,15,－,－,昭51.8.4,13910,－,141.7216667,44.265,,1737,2911,,347,582
留萌,13261,四,達布,ﾀｯﾌﾟ,留萌郡小平町達布,44,2.9,141,51.4,30,10,3.4,昭52.10.31,－,－,141.8566667,44.04833333,,1748,2885,,349,577
留萌,13277,官,留萌,ﾙﾓｲ,留萌市大町　留萌特別地域気象観測所,43,56.7,141,37.9,24,16.3,－,昭55.6.21,13915,－,141.6316667,43.945,,1730,2873,,346,574
留萌,13311,四,増毛,ﾏｼｹ,増毛郡増毛町別苅,43,50.9,141,30.6,20,9.4,1.5,#昭53.10.24,－,－,141.51,43.84833333,,1720,2861,,344,572
留萌,13321,四,幌糠,ﾎﾛﾇｶ,留萌市幌糠町,43,51.2,141,45.6,20,10,1.5,昭52.10.31,13920,－,141.76,43.85333333,,1740,2862,,348,572
石狩,14026,四,浜益,ﾊﾏﾏｽ,石狩市浜益区川下,43,34.9,141,23.2,3,10,1.5,昭52.10.12,－,－,141.3866667,43.58166667,,1710,2829,,342,565
石狩,14071,四,厚田,ｱﾂﾀ,石狩市厚田区別狩,43,23.8,141,26.2,5,10,1.5,昭52.10.12,14900,－,141.4366667,43.39666667,,1714,2807,,342,561
石狩,14101,四,新篠津,ｼﾝｼﾉﾂ,石狩郡新篠津村第46線北,43,13.2,141,38.7,9,10,1.5,#昭53.10.23,14910,－,141.645,43.22,,1731,2786,,346,557
石狩,14116,四,山口,ﾔﾏｸﾞﾁ,札幌市手稲区手稲山口,43,8.9,141,13.3,5,10,1.5,#昭52.10.11,－,－,141.2216667,43.14833333,,1697,2777,,339,555
石狩,14121,四,石狩,ｲｼｶﾘ,石狩市生振,43,11.6,141,22.2,5,10,1.5,平2.3.6,14905,－,141.37,43.19333333,,1709,2783,,341,556
石狩,14136,四,江別,ｴﾍﾞﾂ,江別市江別太,43,6.6,141,36.1,8,8,1.5,平12.10.31,－,－,141.6016667,43.11,,1728,2773,,345,554
石狩,14157,雨,手稲山,ﾃｲﾈﾔﾏ,札幌市手稲区手稲金山,43,5,141,12.1,568,－,－,平22.3.24,－,－,141.2016667,43.08333333,,1696,2770,,339,554
石狩,14163,官,札幌,ｻｯﾎﾟﾛ,札幌市中央区北2条西　札幌管区気象台,43,3.6,141,19.7,17,－,－,平13.9.26,14913,気温、雨、日照,141.3283333,43.06,,1706,2767,,341,553
石狩,14163,官,札幌,ｻｯﾎﾟﾛ,札幌市中央区北2条西,43,3.6,141,19.6,17,59.5,－,平13.9.26,－,風,141.3266667,43.06,,1706,2767,,341,553
石狩,14191,雨,小金湯,ｺｶﾞﾈﾕ,札幌市南区小金湯,42,57.8,141,13,230,－,－,#,14915,－,141.2166667,42.96333333,,1697,2755,,339,551
石狩,14206,四,恵庭島松,ｴﾆﾜｼﾏﾏﾂ,恵庭市下島松,42,55.6,141,33.9,30,10,1.5,#昭52.10.13,14920,－,141.565,42.92666667,,1725,2751,,345,550
